why is love intensified by absence? | love, yearning
friendship marks a life even more deeply than love. love risks degenerating into obsession, friendship is never anything but sharing. | deep, friendship, life, love, obsession, sharing
there's a pleasure to loving someone even when you know there's no chance in them loving you back. the pain i felt let me know i was still alive. | love, pain
but you're so busy changing the worldjust one smile can change all of mine | change, couples, love, smile, song
how can something so wrong feel so right? | love
if you don't receive love from the ones who are meant to love you, you will never stop looking for it. | longing, love, sad, searching, unrequited-love
you are the only one who has understood even a whisper of me, and i will tell you that i am the only person who has understood even a whisper of you. | love
with a chaste heart with pure eyes i celebrate your beautyholding the leash of bloodso that it might leap out and trace your outline where you lie down in my ode as in a land of forests or in surfin aromatic loam, or in sea musicbeautiful nudeequally beautiful your feetarched by primeval tap of wind or soundyour ears, small shellsof the splendid american seayour breasts of level plentitudefulfilled by living lightyour flying eyelids of wheatrevealing or enclosingthe two deep countries of your eyesthe line your shoulders have divided into pale regionsloses itself and blends into the compact halves of an apple continues separating your beauty down into two columns ofburnished goldfine alabasterto sink into the two grapes of your feetwhere your twin symmetrical tree burns again and risesflowering fireopen chandeliera swelling fruit over the pact of sea and earth from what materialsagate?quartz?wheat?did your body come together?swelling like baking bread to signal silvered hills the cleavage of one petal sweet fruits of a deep velvet until alone remainedastonished the fine and firm feminine form it is not only light that falls over the world spreading inside your bodyyet suffocate itselfso much is clarity taking its leave of youas if you were on fire within the moon lives in the lining of your skin. | love, ode-to-a-beautiful-nude, poetry, romance
to love is good, too: love being difficult. for one human being to love another: that is perhaps the most difficult of all our tasks, the ultimate, the last test and proof, the work for which all other work is but preparation...love is a high inducement to the individual to ripen, to become something in himself, to become world for himself for another's sake, it is a great exacting claim upon him, something that chooses him out and calls him to vast things. | love, philosophy, poetry
the only sea i saw was the seesaw sea with you riding on it. lie down, lie easy. let me shipwreck in your thighs. | euphemism, love, naughty, poem, sex, shipwreck, thighs
love is the strongest force the world possesses and yet it is the humblest imaginable. | love
that which god said to the rose, and caused it to laugh in full-blown beauty, he said to my heart, and made it a hundred times more beautiful. | inspirational, love, spiritual
she is tolerable, but not handsome enough to tempt me, and i am in no humor at present to give consequence to young ladies who are slighted by other men. | elizabeth-bennett, love, mr-darcy
she loved the guy. she did it for him. she would’ve done anything for him. some people are like that. some loves are like that. most loves are like that, from what i can see. your heart starts to feel like an overcrowded lifeboat. you throw your pride out to keep it afloat, and your self-respect and your independence. after a while you start throwing people out—your friends, everyone you used to know. and it’s still not enough. the lifeboat is still sinking, and you know it’s going to take you down with it. i’ve seen that happen to a lot of people here. i think that’s why i’m sick of love. | love
people who love themselves, don’t hurt other people. the more we hate ourselves, the more we want others to suffer. | bullies, bullying, hurt, love, people, self-esteem
it's clear to me now that i have been moving toward you and you toward me for a long time. though neither of us was aware of the other before we met, there was a kind of mindless certainty bumming blithely along beneath our ignorance that ensured we would come together. like two solitary birds flying the great prairies by celestial reckoning, all of these years and lifetimes we have been moving toward one another. | love
we are all worthy of one another. | love, worthiness
well my music was different in high school; i was singing about love—you know, things i don't care about anymore. | high-school, lady-gaga, love, music, school
sometimes no matter how many eyelashes or dandelion seeds you blow, no matter how much of your heart you tear out and slap on your sleeve, it just ain't gonna happen. | love, unrequited-love
if you gave someone your heart and they died, did they take it with them? did you spend the rest of forever with a hole inside you that couldn't be filled? | death, heart, love
when your beauty struck me, it dissolved me. deep down, i am not different from you. i dreamed you, i wished for your existence. i see in you that part of me which is you. i surrender my sincerity because if i love you it means we share the same fantasies, we share the same madness. | love
i once loved a girl who almost loved me, but not as much as she loved john cusack. | humor, love, relationships
"now there is a final reason i think that jesus says, ""love your enemies."" it is this: that love has within it a redemptive power. and there is a power there that eventually transforms individuals. just keep being friendly to that person. just keep loving them, and they can’t stand it too long. oh, they react in many ways in the beginning. they react with guilt feelings, and sometimes they’ll hate you a little more at that transition period, but just keep loving them. and by the power of your love they will break down under the load. that’s love, you see. it is redemptive, and this is why jesus says love. there’s something about love that builds up and is creative. there is something about hate that tears down and is destructive. so love your enemies. (from ""loving your enemies"") | creation, destruction, enemies, hate, love, redemption"
phones are distracting. the internet is distracting.the way he looked at you? he wasn't distracted. he was consumed. | consumed, distractions, love, romance
perhaps watching someone you love suffer can teach you even more than suffering yourself can. | love, suffering
i'm not sentimental--i'm as romantic as you are. the idea, you know,is that the sentimental person thinks things will last--the romanticperson has a desperate confidence that they won't. | love, romance, romantic, sentimentality
today you are you, that is truer than true. there is no one alive who is youer than you. | comedy, life, yourself
that's how you know you love someone, i guess, when you can't experience anything without wishing the other person were there to see it, too. | love, missing
for a moment, i wondered how different my life would have been had they been my parents, but i shook the thought away. i knew my father had done the best he could, and i had no regrets about the way i'd turned out. regrets about the journey, maybe, but not the destination. because however it had happened, i'd somehow ended up eating shrimp in a dingy downtown shack with a girl that i already knew i'd never forget. | bestseller, love, nicholas-sparks, north-carolina, novel
"to douchebags!"" he said, gesturing to brad. ""and to girls that break your heart,"" he bowed his head to me. his eyes lost focus. ""and to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her. | best-friends, heartbreak, love"
i love you as certain dark things are loved, secretly, between the shadow and the soul. | etienne-st-clair, love, secret
a true gentleman is one that apologizes anyways, even though he has not offended a lady intentionally. he is in a class all of his own because he knows the value of a woman's heart. | betrayal, break-ups, cheating, class, compassion, courtesy, gentleman, honor, ladies, leading-a-woman-on, love, manners, manning-up, men, mixed-signals, players, relationships, respect, respecting-others, respecting-women, true-gentlemen
there's two kinds of women--those you write poems about and those you don't. | dichotomy, inspiration, life, love, poetry, women, writing
"i've never minded it,"" he went on. ""being lost, that is. i had always thought one could not truly be lost if one knew one's own heart. but i fear i may be lost without knowing yours. | feelings, heart, love"
i don't understand the point of being together if you're not the happiest. | happiness, love, relationship
the emotion that can break your heart is sometimes the very one that heals it... | at-first-sight, emotions, healing, heartbreak, love, nicholas, nicholas-sparks, sparks
just because love don't look the way you think it should, don't mean you don't have it. | love, perception
"encouragement requires empathy and seeing the world from your spouse's perspective. we must first learn what is important to our spouse. only then can we give encouragement. with verbal encouragement, we are trying to communicate, ""i know. i care. i am with you. how can i help?"" we are trying to show that we believe in him and in his abilities. we are giving credit and praise. | encouragement, love, marriage, relationships"
sometimes it's a form of love just to talk to somebody that you have nothing in common with and still be fascinated by their presence. | love
